date,service_type,region,provider,cpu_hours,storage_gb,data_transfer_gb,cost_usd,team,co2e_kg
2024-01-13,Storage,eastus,Azure,0.3502,572.3903,1.3595,1.1865,QA,0.0025743206
2024-01-13,Database,southeastasia,AWS,2.5473,170.9867,4.6551,3.4605,DevOps,0.005506533399999999
2024-01-13,Database,eastus,AWS,2.5475,170.3831,1.7633,2.5287,Engineering,0.0026135662000000004
2024-01-13,VM,eastus,AWS,6.2299,37.5491,8.1466,2.2384,Engineering,0.009467678200000001
2024-01-13,VM,eastus,Azure,2.7222,55.8521,4.3626,1.273,Data,0.0050187441999999995
2024-01-13,Database,westeurope,AWS,3.438,245.813,1.5763,3.0683,Data,0.0027555260000000003
2024-01-14,Networking,eastus,AWS,1.9181,10.0079,15.4228,3.9103,Engineering,0.0158264358
2024-01-14,Database,southeastasia,AWS,1.5471,216.0648,4.0907,2.0035,Data,0.0048322496
2024-01-14,VM,westeurope,AWS,11.8241,58.8447,4.162,2.867,DevOps,0.0066445094
2024-01-15,VM,westeurope,Azure,16.1904,47.0757,10.7591,4.5394,Data,0.0140913314
2024-01-15,Storage,southeastasia,Azure,0.5657,695.7702,2.0698,3.0629,Data,0.0035744804000000002
2024-01-15,Storage,eastus,Azure,0.7382,827.3123,1.8832,3.4444,Engineering,0.0036854646000000005
2024-01-16,VM,eastus,Azure,16.259,58.4201,4.5411,2.3343,Data,0.007909740200000001
2024-01-16,VM,eastus,AWS,13.0998,42.9509,6.7667,4.0127,Engineering,0.009472561800000001
2024-01-16,Storage,westeurope,AWS,0.3676,702.1401,1.6646,1.4275,Engineering,0.0031424002
2024-01-17,Storage,eastus,Azure,0.3477,660.761,1.975,2.9205,Engineering,0.0033660620000000004
2024-01-17,Storage,eastus,AWS,0.3875,821.3754,2.0214,2.6717,Engineering,0.0037416508000000003
2024-01-17,Database,eastus,Azure,5.6206,203.823,6.3003,3.3671,Data,0.007832066
2024-01-18,VM,eastus,AWS,13.4131,44.3274,4.5866,1.6408,Engineering,0.0073578748
2024-01-18,VM,eastus,AWS,12.6547,56.8292,10.5328,3.3451,Engineering,0.0131773984
2024-01-18,VM,westeurope,Azure,13.9609,42.2207,7.5432,2.5908,DevOps,0.010419821400000001
2024-01-18,VM,westeurope,Azure,12.0831,50.9552,7.1326,2.1431,Engineering,0.0096511304
2024-01-18,VM,eastus,AWS,11.2845,50.3639,6.0057,2.6468,Engineering,0.0083633278
2024-01-18,Database,eastus,AWS,6.356,208.2073,3.914,2.9886,QA,0.0056016146
2024-01-19,Networking,westeurope,AWS,1.7337,8.6355,35.7476,5.6477,DevOps,0.036111610999999995
2024-01-19,Storage,westeurope,Azure,0.5955,801.2958,2.5292,2.2936,Engineering,0.004250891600000001
2024-01-19,Storage,westeurope,AWS,0.2894,730.0903,2.1565,1.6148,Engineering,0.0036745605999999997
2024-01-20,Networking,westeurope,AWS,1.4885,9.6954,18.3403,4.5754,Data,0.0186573908
2024-01-20,VM,eastus,Azure,5.388,49.1011,4.273,3.169,Data,0.0054488022
2024-01-20,VM,eastus,AWS,8.0693,65.5655,6.0907,2.4669,DevOps,0.007835691
2024-01-21,Storage,westeurope,Azure,0.2592,520.8378,1.9065,2.5271,Data,0.0030000156
2024-01-21,VM,eastus,AWS,7.926,38.5214,0.0,2.7364,Engineering,0.0016622428000000002
2024-01-21,Networking,eastus,Azure,0.8176,10.7194,29.2473,5.6739,Data,0.0294322588
2024-01-21,Networking,westeurope,Azure,1.5294,8.6363,29.7789,3.5174,Engineering,0.030102052600000002
2024-01-21,Storage,eastus,AWS,0.2951,1180.9331,1.1093,2.7353,Data,0.0035301861999999995
2024-01-21,Storage,westeurope,AWS,0.5133,862.0419,1.7092,3.737,Data,0.0035359438000000004
2024-01-22,Storage,eastus,AWS,0.5448,833.5962,1.3247,2.5492,QA,0.0031008524
2024-01-22,Storage,eastus,Azure,0.7228,870.833,2.1301,1.7754,QA,0.004016326000000001
2024-01-22,Networking,eastus,Azure,3.2693,10.7859,24.7072,3.7268,QA,0.025382631800000003
2024-01-22,Networking,eastus,AWS,1.9333,11.2348,30.6599,4.2267,Engineering,0.0310690296
2024-01-22,VM,westeurope,AWS,8.6237,48.8822,7.984,2.7173,Engineering,0.009806504399999999
2024-01-23,VM,westeurope,AWS,8.0426,50.5881,4.4367,3.763,Engineering,0.0061463962
2024-01-23,Storage,westeurope,Azure,0.4277,690.7331,1.4775,2.25,Data,0.0029445062000000004
2024-01-23,Networking,eastus,AWS,1.194,11.6292,26.4488,4.4153,Data,0.0267108584
2024-01-23,VM,westeurope,AWS,10.3087,23.2385,7.1443,2.4915,Data,0.009252517
2024-01-23,VM,westeurope,AWS,12.7149,60.6122,8.3001,4.3511,QA,0.010964304400000001
2024-01-23,Networking,southeastasia,AWS,1.6147,9.064,53.1424,6.2154,Data,0.053483468000000006
2024-01-24,VM,westeurope,AWS,12.447,56.104,5.743,3.7966,Engineering,0.008344608
2024-01-24,Networking,eastus,Azure,2.2966,9.5357,32.9352,4.6353,Engineering,0.033413591400000005
2024-01-24,Database,southeastasia,AWS,4.1233,239.473,2.3703,1.765,Engineering,0.0036739060000000002
2024-01-25,VM,westeurope,AWS,10.9349,51.931,8.6827,3.0238,QA,0.010973542000000003
2024-01-25,VM,eastus,AWS,12.1157,44.0427,11.8898,2.7305,DevOps,0.0144010254
2024-01-25,Storage,eastus,AWS,0.6379,938.171,2.0724,3.474,QA,0.004076322
2024-01-26,VM,westeurope,Azure,15.9363,51.9202,10.3585,3.7383,DevOps,0.0136496004
2024-01-26,Networking,eastus,Azure,2.1918,6.4454,26.8679,4.5361,Data,0.0273191508
2024-01-26,VM,eastus,AWS,12.5957,42.681,10.5287,3.5009,Engineering,0.013133202
2024-01-27,VM,southeastasia,AWS,8.0933,37.1034,4.6805,3.4542,Data,0.0063733668
2024-01-27,Database,eastus,Azure,3.1791,161.9594,0.5063,1.8543,Data,0.0014660388
2024-01-27,Networking,westeurope,AWS,1.0461,9.0117,20.9736,3.748,Engineering,0.021200843400000002
2024-01-28,VM,eastus,AWS,8.4889,51.5577,4.6518,3.6544,QA,0.0064526954
2024-01-28,VM,westeurope,AWS,3.3698,58.468,3.807,3.1606,QA,0.004597896
2024-01-28,VM,southeastasia,AWS,5.8965,47.6812,4.5331,2.0773,Data,0.0058077623999999994
2024-01-28,Networking,eastus,AWS,0.9606,9.0241,24.3919,4.313,Data,0.0246020682
2024-01-28,Database,westeurope,AWS,3.7234,231.9644,1.7241,2.2114,Engineering,0.0029327088
2024-01-28,Storage,southeastasia,Azure,0.4762,598.1816,0.0,2.8254,DevOps,0.0012916032
2024-01-29,VM,eastus,AWS,14.0016,62.1048,9.1042,2.1518,QA,0.012028729600000001
2024-01-29,VM,eastus,AWS,11.2508,45.1359,9.9245,3.4392,QA,0.012264931800000002
2024-01-29,Database,southeastasia,Azure,5.7762,180.2176,4.2854,3.3777,QA,0.0058010752
2024-01-29,VM,eastus,AWS,13.7919,53.8645,10.866,2.7221,Engineering,0.013732109000000001
2024-01-30,Database,southeastasia,AWS,7.1939,231.4559,5.5154,2.0802,Engineering,0.007417091800000001
2024-01-30,VM,westeurope,Azure,10.8703,45.4041,7.0695,3.9147,Data,0.0093343682
2024-01-30,Database,southeastasia,Azure,4.7242,203.1421,2.3772,1.7458,DevOps,0.0037283242000000004
2024-01-31,VM,westeurope,Azure,8.228,56.8062,8.0861,3.0945,Engineering,0.0098453124
2024-01-31,Networking,westeurope,Azure,2.5508,10.0954,24.2593,3.2145,DevOps,0.0247896508
2024-01-31,VM,eastus,Azure,10.5776,43.038,9.4265,4.0932,Engineering,0.011628096000000001
2024-02-01,Database,eastus,Azure,7.8098,175.4919,5.553,3.5895,Engineering,0.0074659437999999995
2024-02-01,Storage,eastus,AWS,0.4508,802.9571,2.054,1.9716,Data,0.0037500742
2024-02-01,Storage,westeurope,Azure,0.5312,989.2944,1.9428,3.0404,Engineering,0.0040276288
2024-02-02,Networking,westeurope,AWS,2.1395,11.1279,38.7921,5.2865,DevOps,0.039242255799999994
2024-02-02,VM,eastus,Azure,10.2404,64.331,10.6488,2.9583,QA,0.012825541999999999
2024-02-02,VM,southeastasia,AWS,17.1762,49.1526,5.0602,4.1783,DevOps,0.0085937452
2024-02-02,VM,southeastasia,AWS,14.5023,46.2897,6.2638,2.1237,DevOps,0.0092568394
2024-02-03,Database,eastus,AWS,4.6967,255.3991,0.8949,1.9958,QA,0.0023450382000000003
2024-02-03,VM,southeastasia,AWS,5.0674,44.9816,4.1781,2.0751,QA,0.0052815432
2024-02-03,Database,eastus,Azure,3.2559,210.2818,3.1851,3.0315,Engineering,0.0042568436
2024-02-03,Networking,westeurope,Azure,1.8246,10.7371,5.7235,1.4239,Engineering,0.0061098941999999995
2024-02-03,Networking,eastus,AWS,1.1751,10.1922,8.8705,2.0351,Data,0.009125904399999999
2024-02-04,Storage,southeastasia,AWS,0.1829,994.2562,1.7291,3.8083,Data,0.0037541924
2024-02-04,Database,westeurope,Azure,4.7131,204.8829,1.1323,1.0311,Engineering,0.0024846858
2024-02-04,Storage,eastus,AWS,0.4279,810.9903,0.1688,3.6012,DevOps,0.0018763606
2024-02-04,VM,westeurope,Azure,3.878,52.6392,4.3187,1.4257,Engineering,0.0051995784
2024-02-04,Database,westeurope,Azure,4.1579,194.842,2.7194,3.0523,Data,0.003940664
2024-02-04,Storage,eastus,Azure,0.3653,962.1774,1.2785,2.5725,Data,0.0032759148
2024-02-05,Storage,westeurope,AWS,0.4186,741.9337,1.8078,3.6913,Engineering,0.0033753874000000002
2024-02-05,VM,eastus,Azure,13.2725,72.2376,7.7681,3.6896,DevOps,0.0105670752
2024-02-05,VM,southeastasia,Azure,13.8406,42.3291,7.3823,4.0319,DevOps,0.0102350782
2024-02-05,Networking,westeurope,AWS,1.1657,7.6573,48.0156,6.6964,Engineering,0.0482640546
2024-02-05,Storage,southeastasia,Azure,0.5815,610.8329,2.8859,3.0887,Data,0.0042238658
2024-02-06,Networking,eastus,Azure,2.69,10.346,9.0779,2.4866,Data,0.009636592
2024-02-06,VM,eastus,AWS,16.6268,63.5337,6.3542,3.549,Data,0.0098066274
2024-02-06,VM,eastus,Azure,12.8266,62.8757,11.6903,3.2077,Engineering,0.0143813714
2024-02-06,VM,eastus,Azure,10.2261,35.3586,5.8712,2.67,Data,0.007987137200000001
2024-02-06,Storage,southeastasia,AWS,0.553,968.5452,1.0367,2.2542,Engineering,0.0030843904000000004
2024-02-07,Storage,southeastasia,Azure,0.4621,845.5671,1.8039,1.4755,Data,0.0035874542
2024-02-07,Storage,southeastasia,AWS,0.4311,887.9168,1.9516,2.1675,Engineering,0.0038136535999999995
2024-02-07,Storage,eastus,AWS,0.5174,854.3042,1.9199,2.6416,QA,0.0037319884
2024-02-07,Storage,westeurope,AWS,0.6357,932.9819,1.3761,1.8743,Engineering,0.0033692038000000006
2024-02-07,Networking,southeastasia,AWS,2.5365,9.7541,34.9249,5.8678,DevOps,0.0354517082
2024-02-07,Database,westeurope,AWS,4.6243,206.033,6.576,1.5477,Data,0.007912925999999999
2024-02-08,Networking,southeastasia,Azure,2.253,11.4855,13.3415,2.2159,QA,0.013815071000000002
2024-02-08,Storage,eastus,Azure,0.6179,759.8591,2.1237,2.0251,QA,0.0037669982
2024-02-08,VM,westeurope,Azure,14.7044,48.9585,7.1259,4.0569,QA,0.010164697
2024-02-08,VM,eastus,Azure,14.2586,60.0359,11.8073,3.7017,Engineering,0.0147790918
2024-02-08,VM,westeurope,Azure,11.0909,49.7397,5.1476,3.1402,Data,0.0074652594
2024-02-08,Networking,westeurope,AWS,2.156,10.1344,19.3675,2.9695,QA,0.0198189688
2024-02-09,Storage,westeurope,Azure,0.5949,833.743,2.0625,1.5041,DevOps,0.0038489660000000005
2024-02-09,Database,eastus,AWS,5.9061,173.8828,3.5236,2.0022,Data,0.0050525856
2024-02-09,Networking,westeurope,AWS,1.5052,11.4112,21.1576,2.9381,Data,0.021481462399999998
2024-02-09,Networking,eastus,AWS,1.8877,10.2407,21.5649,3.1807,DevOps,0.0219629214
2024-02-09,Database,eastus,Azure,6.1878,187.1178,5.1834,3.455,Data,0.0067951956
2024-02-09,Database,eastus,AWS,6.8149,234.4826,4.5486,3.6663,Data,0.0063805452000000006
2024-02-10,Storage,eastus,AWS,0.3851,1096.1663,0.0,1.805,QA,0.0022693526000000003
2024-02-10,VM,eastus,AWS,9.4027,39.8588,5.6008,3.1756,Data,0.0075610576
2024-02-10,Storage,eastus,Azure,0.1063,925.1131,0.6881,2.7843,Engineering,0.0025595862
2024-02-10,VM,southeastasia,Azure,10.5921,62.8678,0.0,1.9155,Engineering,0.0022441556
2024-02-10,Storage,eastus,Azure,0.1434,823.5401,0.6389,1.8736,DevOps,0.0023146602
2024-02-11,Networking,westeurope,AWS,1.5475,12.9198,12.6555,1.8735,Engineering,0.0129908396
2024-02-11,Storage,southeastasia,AWS,0.5159,820.3233,0.1518,1.409,DevOps,0.0018956266000000003
2024-02-11,Storage,westeurope,AWS,0.2333,631.1427,1.0438,3.1941,DevOps,0.0023527454
2024-02-11,Storage,westeurope,AWS,0.3975,816.0249,0.9085,3.1815,DevOps,0.0026200498
2024-02-11,Networking,eastus,AWS,0.8479,9.6417,15.7847,2.7325,Engineering,0.0159735634
2024-02-11,VM,eastus,Azure,9.3243,49.9545,6.0124,4.0074,Data,0.007977169
2024-02-12,VM,westeurope,AWS,16.4284,58.1269,12.2581,2.7896,Data,0.0156600338
2024-02-12,VM,southeastasia,AWS,12.7808,46.7442,6.6949,4.1452,Engineering,0.0093445484
2024-02-12,Storage,southeastasia,Azure,0.614,608.2746,1.6902,3.5299,Data,0.0030295492
2024-02-13,VM,eastus,AWS,14.7953,53.8082,8.1296,3.0643,Engineering,0.0111962764
2024-02-13,VM,westeurope,AWS,8.3709,54.4995,11.6738,2.3743,Engineering,0.013456979
2024-02-13,VM,westeurope,AWS,15.6563,45.7726,7.0138,2.2213,Engineering,0.0102366052
2024-02-13,VM,eastus,Azure,12.4817,50.0228,9.0487,2.7175,Engineering,0.0116450856
2024-02-14,Networking,southeastasia,Azure,2.5953,12.5718,20.4655,3.3617,DevOps,0.0210097036
2024-02-14,Storage,eastus,AWS,0.4709,674.4226,2.2322,2.943,Engineering,0.0036752252
2024-02-14,VM,westeurope,AWS,16.103,41.0417,9.2308,2.2967,DevOps,0.012533483400000002
2024-02-14,VM,eastus,AWS,6.7715,49.9628,7.065,3.1285,Data,0.008519225600000001
2024-02-14,Networking,westeurope,Azure,2.2769,10.4372,23.4239,5.0825,Engineering,0.0239001544
2024-02-14,Networking,eastus,AWS,2.4045,8.9343,29.8349,4.2733,QA,0.030333668600000002
2024-02-15,Storage,westeurope,AWS,0.664,855.1967,1.5934,2.6115,Data,0.0034365934
2024-02-15,Networking,eastus,AWS,1.5988,11.9482,21.1717,4.428,DevOps,0.0215153564
2024-02-15,Networking,eastus,AWS,1.336,11.7786,36.4706,4.5181,Engineering,0.0367613572
2024-02-15,VM,eastus,Azure,13.8214,59.8337,4.9938,1.9622,Engineering,0.007877747400000001
2024-02-16,VM,eastus,Azure,10.4926,47.6859,9.6487,2.2217,Data,0.0118425918
2024-02-16,Storage,eastus,AWS,0.7955,850.5631,2.138,1.6202,QA,0.0039982262
2024-02-16,VM,westeurope,AWS,9.2751,52.3628,7.6007,3.3594,Engineering,0.0095604456
2024-02-16,Storage,eastus,Azure,0.5933,756.7768,2.1814,2.8952,DevOps,0.0038136135999999998
2024-02-17,Storage,southeastasia,Azure,0.0926,675.3438,1.3017,2.5019,DevOps,0.0026709076000000003
2024-02-17,Database,southeastasia,AWS,4.1995,180.4593,1.7071,2.2582,Engineering,0.0029079186
2024-02-17,Networking,westeurope,AWS,1.4932,7.1512,15.7059,3.4032,Data,0.0160188424
2024-02-18,VM,westeurope,Azure,4.6484,42.5969,7.5682,2.7837,Data,0.0085830738
2024-02-18,Storage,eastus,AWS,0.3594,718.7029,1.403,1.5391,Data,0.0029122858
2024-02-18,Networking,eastus,AWS,1.003,9.3823,1.999,2.9209,Engineering,0.0022183646000000002
2024-02-18,Storage,westeurope,AWS,0.0923,770.696,1.0665,2.4078,Engineering,0.002626352
2024-02-19,Networking,eastus,Azure,2.558,9.0261,38.5304,5.3906,Data,0.0390600522
2024-02-19,Storage,eastus,AWS,0.5853,790.0783,1.927,2.8028,Data,0.0036242166
2024-02-19,Networking,southeastasia,Azure,2.9309,8.385,26.8535,4.0887,Data,0.027456450000000004
2024-02-19,Networking,eastus,Azure,2.1308,9.2667,19.9234,3.2388,Data,0.020368093400000002
2024-02-20,Networking,westeurope,Azure,1.7083,8.0486,17.3982,3.242,DevOps,0.0177559572
2024-02-20,Database,westeurope,Azure,1.7907,191.7731,3.501,3.3546,Engineering,0.0042426862
2024-02-20,Storage,eastus,AWS,0.6108,716.8806,1.9601,2.3276,Engineering,0.0035160212000000003
2024-02-21,Networking,eastus,AWS,2.1226,10.1525,19.8208,3.4213,Engineering,0.020265625
2024-02-21,VM,southeastasia,AWS,12.201,53.8695,4.2499,3.3365,DevOps,0.006797839
2024-02-21,Database,eastus,Azure,5.2064,160.0053,8.6222,4.0786,Engineering,0.0099834906
2024-02-22,Database,eastus,AWS,4.7653,195.0746,5.705,3.843,DevOps,0.0070482092
2024-02-22,VM,eastus,AWS,17.7441,66.303,10.2568,2.891,DevOps,0.013938226
2024-02-22,Networking,eastus,AWS,1.8996,9.7875,28.8914,5.0721,DevOps,0.029290895
2024-02-22,VM,westeurope,AWS,15.3578,34.0015,7.9123,4.1557,Engineering,0.011051863
2024-02-22,Storage,westeurope,Azure,0.5447,699.5217,1.7015,3.5822,Engineering,0.0032094834
2024-02-22,Storage,westeurope,Azure,0.4139,767.7838,1.5818,1.9569,Data,0.0032001476
2024-02-23,Storage,eastus,Azure,0.6637,731.8229,0.9015,3.1562,DevOps,0.0024978858
2024-02-23,Storage,westeurope,Azure,0.5251,808.1427,2.5117,1.7657,Engineering,0.0042330054
2024-02-23,Networking,westeurope,AWS,1.8672,10.7251,25.0814,5.0902,QA,0.0254762902
2024-02-23,Networking,eastus,AWS,1.7421,10.0363,42.71,6.853,Data,0.043078492600000004
2024-02-24,Storage,eastus,Azure,0.1923,843.6255,0.6379,1.2868,Engineering,0.002363611
2024-02-24,Networking,eastus,AWS,1.3385,8.1119,5.9176,3.3986,QA,0.006201523800000001
2024-02-24,VM,westeurope,Azure,3.2162,58.1238,5.7682,3.4176,QA,0.0065276876
2024-02-24,Storage,eastus,AWS,0.2291,728.1959,1.9846,3.5113,Engineering,0.0034868118000000005
2024-02-24,Networking,eastus,Azure,1.9912,10.7702,18.864,2.9365,Data,0.019283780400000002
2024-02-25,VM,westeurope,AWS,8.3473,46.9845,5.2582,3.5025,DevOps,0.007021629000000001
2024-02-25,VM,westeurope,Azure,4.199,44.9169,5.2334,3.385,Data,0.0061630338
2024-02-26,VM,eastus,AWS,11.2852,42.397,7.7655,1.8181,Engineering,0.010107334
2024-02-26,Storage,eastus,Azure,0.6765,864.9043,2.5309,3.522,Engineering,0.0043960086
2024-02-26,Database,westeurope,Azure,9.2993,215.9609,2.7925,1.6639,Data,0.0050842818
2024-02-26,VM,eastus,AWS,11.2135,56.2247,6.6732,1.8675,Data,0.0090283494
2024-02-26,VM,westeurope,Azure,8.4057,40.4513,10.9727,2.6353,Engineering,0.0127347426
2024-02-27,Storage,southeastasia,Azure,0.5143,688.7176,2.143,1.4802,Data,0.0036232951999999995
2024-02-27,Database,westeurope,Azure,6.9799,280.626,2.285,2.3423,QA,0.004242232
2024-02-27,Networking,westeurope,Azure,1.656,12.4184,41.8342,5.8333,Data,0.0421902368
2024-02-27,Networking,eastus,AWS,1.8717,6.3959,33.8181,5.14,Engineering,0.034205231800000006
2024-02-27,Networking,westeurope,Azure,2.0717,8.8863,18.1198,3.4183,Engineering,0.0185519126
2024-02-27,VM,eastus,AWS,11.3394,34.4911,9.0849,2.5901,QA,0.0114217622
2024-02-28,Storage,westeurope,Azure,0.345,835.7505,2.1732,2.0652,Engineering,0.003913701
2024-02-28,Storage,eastus,AWS,0.4274,902.4456,2.0793,3.5992,Engineering,0.0039696712
2024-02-28,Storage,eastus,Azure,0.6663,890.9727,1.9477,1.8034,Engineering,0.0038629054
2024-02-28,VM,westeurope,Azure,14.5245,41.2592,10.5247,4.5611,DevOps,0.0135121184
2024-02-28,Networking,southeastasia,AWS,1.5105,9.4345,35.182,5.4094,DevOps,0.035502969
2024-02-29,Networking,westeurope,AWS,1.5519,10.3101,36.8304,6.0814,Data,0.0371614002
2024-02-29,Storage,westeurope,AWS,0.474,564.8732,2.4396,2.9983,Engineering,0.0036641464
2024-02-29,Networking,southeastasia,Azure,1.4032,11.3787,39.0052,5.2026,Data,0.039308597400000006
2024-03-01,VM,eastus,Azure,9.9881,49.413,7.1705,2.9772,DevOps,0.009266946
2024-03-01,Storage,eastus,Azure,0.5285,546.0896,2.7642,2.6828,Engineering,0.0039620792
2024-03-01,VM,southeastasia,AWS,10.5052,61.3598,12.8856,2.4741,DevOps,0.0151093596
2024-03-01,VM,southeastasia,AWS,8.6558,50.7326,7.7257,3.9638,QA,0.0095583252
2024-03-02,VM,eastus,Azure,6.7281,54.2069,3.2908,1.451,Data,0.0047448338
2024-03-02,Database,eastus,Azure,1.2905,155.4117,3.2934,1.3629,Data,0.0038623234
2024-03-02,Storage,westeurope,Azure,0.0451,583.8731,0.6744,1.6588,DevOps,0.0018511662
2024-03-02,VM,eastus,AWS,7.3833,53.7046,6.3074,1.8112,Engineering,0.0078914692
2024-03-02,Storage,westeurope,AWS,0.0719,932.1152,2.175,2.9655,Data,0.0040536104
2024-03-03,Networking,eastus,Azure,2.0322,12.3429,9.6485,1.5703,DevOps,0.0100796258
2024-03-03,Database,westeurope,AWS,0.7128,197.6415,7.382,2.7569,DevOps,0.007919843
2024-03-04,VM,westeurope,AWS,8.2666,58.9547,7.1914,3.5005,Data,0.0089626294
2024-03-04,Storage,southeastasia,AWS,0.4756,936.0524,2.3561,3.019,Engineering,0.0043233248
2024-03-04,Database,eastus,AWS,1.5894,228.5588,6.6517,1.6863,DevOps,0.0074266976
2024-03-04,VM,eastus,Azure,14.8594,53.8481,9.7402,3.9823,Engineering,0.012819776199999999
2024-03-04,VM,westeurope,Azure,13.5485,54.3838,9.0792,3.5432,DevOps,0.011897667600000002
